                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9197,                 3.3828,                 1.5678,                0.24922,                0.13028,                0.15734,                0.07778,                 1.4087,                 2.6317,                 1.3567,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.4938,                   1.61,                 1.3065,                0.39821,                0.60563,                0.48253,                0.31617,                 1.2093,                 1.9922,                 1.1596,             0.00021456,             0.00021456,             0.00021456
                      3,                 1.2713,                 1.1609,                 1.1244,                0.59393,                0.50634,                0.55889,                0.35547,                  1.234,                   2.43,                 1.1723,              0.0003268,              0.0003268,              0.0003268
                      4,                 1.2128,                  1.001,                 1.1067,                 0.5819,                0.60013,                0.63484,                0.41471,                 1.1916,                 1.5028,                 1.1248,             0.00043672,             0.00043672,             0.00043672
                      5,                 1.1699,                0.91312,                 1.0884,                0.64413,                0.70211,                0.71097,                0.43549,                 1.3668,                 1.2785,                 1.2701,             0.00054434,             0.00054434,             0.00054434
                      6,                 1.1948,                0.82958,                  1.099,                0.74462,                0.55563,                0.67784,                0.40683,                 1.3398,                 1.9375,                 1.2605,             0.00064964,             0.00064964,             0.00064964
                      7,                 1.1554,                0.78145,                 1.0685,                0.52407,                0.52201,                 0.5533,                0.33369,                  1.329,                 1.4465,                 1.2351,             0.00075263,             0.00075263,             0.00075263
                      8,                 1.1821,                0.82188,                 1.1163,                0.36257,                0.36056,                0.30487,                 0.1801,                 1.3907,                 2.0796,                 1.3035,             0.00085331,             0.00085331,             0.00085331
                      9,                 1.1655,                0.84626,                 1.1014,                0.53796,                0.51105,                0.45317,                0.22621,                 1.5437,                 1.8598,                 1.4175,             0.00095168,             0.00095168,             0.00095168
                     10,                 1.1204,                0.78341,                 1.0824,                0.63935,                0.60246,                0.61967,                0.32073,                 1.6055,                  1.323,                 1.4198,              0.0010477,              0.0010477,              0.0010477
                     11,                 1.0994,                0.70165,                 1.0669,                0.47027,                0.59437,                0.45322,                0.22694,                 1.4789,                 1.7901,                 1.3311,              0.0011415,              0.0011415,              0.0011415
                     12,                 1.1109,                0.73956,                 1.0845,                0.75668,                0.50658,                0.58936,                0.34043,                 1.4771,                 1.4641,                 1.3313,              0.0012329,              0.0012329,              0.0012329
                     13,                 1.1127,                0.70866,                 1.0551,                 0.6462,                0.61549,                 0.6353,                0.38481,                 1.4421,                 1.2662,                 1.3193,              0.0013221,              0.0013221,              0.0013221
                     14,                 1.0295,                0.73067,                  1.054,                 0.7502,                0.56197,                 0.5964,                0.37228,                 1.3828,                 1.2529,                 1.2885,              0.0014089,              0.0014089,              0.0014089
                     15,                 1.1309,                0.72263,                 1.0538,                0.84306,                0.44542,                 0.5814,                 0.3441,                 1.4228,                  1.284,                  1.302,               0.001436,               0.001436,               0.001436
                     16,                 1.0786,                0.74828,                 1.0373,                0.81365,                0.52632,                0.58953,                0.38243,                 1.3228,                 1.2673,                 1.2857,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.1009,                0.68177,                  1.065,                0.77298,                0.54757,                0.62191,                0.39788,                 1.3267,                 1.1398,                 1.3057,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.0869,                0.64538,                 1.0792,                0.63941,                0.61763,                0.64587,                0.38736,                  1.427,                 1.1983,                 1.3514,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.0845,                0.68509,                   1.05,                0.74207,                0.58279,                0.64366,                 0.3959,                 1.3504,                 1.2612,                 1.2665,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.0145,                 0.6151,                 1.0371,                0.68912,                0.66478,                0.69946,                 0.4274,                 1.3607,                 1.1296,                  1.247,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.0481,                0.68484,                 1.0592,                0.66869,                0.69155,                0.72868,                0.45551,                 1.3494,                 1.2093,                 1.2533,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.0346,                0.63591,                 1.0108,                0.74234,                0.64155,                0.68789,                0.40255,                 1.3676,                 1.1954,                 1.2661,              0.0013204,              0.0013204,              0.0013204
                     23,                0.95913,                0.62107,                 1.0201,                0.60228,                0.57711,                0.64105,                0.39586,                 1.3177,                 1.0438,                 1.2373,              0.0013039,              0.0013039,              0.0013039
                     24,                0.95994,                0.59872,                 1.0058,                0.84096,                0.53486,                0.69251,                0.43579,                 1.2877,                 0.9487,                 1.2101,              0.0012874,              0.0012874,              0.0012874
                     25,                0.93468,                0.56935,                 1.0105,                0.82348,                0.60728,                0.75289,                0.46742,                 1.2987,                0.93863,                  1.217,              0.0012709,              0.0012709,              0.0012709
                     26,                0.92585,                0.55691,                 1.0192,                0.85693,                0.62518,                0.79751,                0.50689,                 1.2545,                0.84856,                 1.2076,              0.0012544,              0.0012544,              0.0012544
                     27,                0.98883,                0.58892,                 1.0012,                0.68346,                0.81585,                0.80872,                0.51338,                 1.2852,                0.95372,                  1.217,              0.0012379,              0.0012379,              0.0012379
                     28,                0.92978,                0.56494,                0.98783,                0.87462,                0.67676,                0.82196,                0.51854,                 1.2923,                0.92982,                 1.2066,              0.0012214,              0.0012214,              0.0012214
                     29,                0.93002,                0.55725,                0.98444,                0.87688,                0.63803,                0.79555,                0.50985,                 1.2849,                0.96075,                 1.2053,              0.0012049,              0.0012049,              0.0012049
                     30,                0.87657,                0.52269,                0.99624,                0.87394,                0.74031,                0.82061,                0.47878,                 1.2914,                0.83315,                 1.2303,              0.0011884,              0.0011884,              0.0011884
                     31,                0.88517,                0.53398,                0.98836,                0.91239,                0.68697,                0.80067,                0.48731,                 1.2606,                0.79305,                 1.2342,              0.0011719,              0.0011719,              0.0011719
                     32,                0.87092,                 0.5348,                0.97942,                0.77784,                 0.7088,                0.78478,                0.49417,                 1.2398,                0.86591,                 1.1797,              0.0011554,              0.0011554,              0.0011554
                     33,                0.90142,                0.54567,                0.97063,                0.70829,                0.76271,                0.79181,                0.49254,                 1.2716,                0.94254,                 1.2016,              0.0011389,              0.0011389,              0.0011389
                     34,                0.89225,                0.56106,                0.97509,                0.83811,                0.70915,                0.85044,                0.48419,                 1.3354,                0.91383,                 1.2441,              0.0011224,              0.0011224,              0.0011224
                     35,                0.86384,                0.53073,                0.97916,                0.81911,                0.76006,                0.87246,                 0.5339,                 1.2715,                0.81123,                 1.2204,              0.0011059,              0.0011059,              0.0011059
                     36,                0.87728,                0.56056,                0.98432,                0.87173,                0.75915,                0.87247,                0.51605,                  1.353,                0.80292,                 1.2654,              0.0010894,              0.0010894,              0.0010894
                     37,                 0.8975,                0.55378,                0.97362,                0.78961,                0.77373,                0.84291,                 0.5346,                 1.3151,                0.80752,                 1.2446,              0.0010729,              0.0010729,              0.0010729
                     38,                0.90547,                0.56273,                0.99806,                0.81958,                0.76324,                0.81915,                0.50575,                  1.302,                0.80917,                 1.2441,              0.0010564,              0.0010564,              0.0010564
                     39,                0.86556,                0.49062,                0.98015,                0.77272,                0.74789,                0.81777,                0.48995,                 1.3623,                0.80971,                 1.3106,              0.0010399,              0.0010399,              0.0010399
                     40,                0.85225,                 0.5151,                0.97657,                0.76711,                0.73028,                0.79307,                0.51355,                 1.2973,                0.77184,                 1.2429,              0.0010234,              0.0010234,              0.0010234
                     41,                0.87259,                0.51922,                0.96426,                0.79579,                0.71451,                0.79478,                0.49711,                 1.3126,                0.79686,                 1.2484,              0.0010069,              0.0010069,              0.0010069
                     42,                0.89861,                0.52484,                0.98292,                0.86585,                0.64924,                0.77771,                0.46663,                 1.3838,                0.76182,                 1.2737,             0.00099036,             0.00099036,             0.00099036
                     43,                0.83877,                0.50636,                0.95764,                0.77588,                0.74437,                0.81592,                0.50735,                 1.2406,                0.75243,                 1.2028,             0.00097386,             0.00097386,             0.00097386
                     44,                0.83896,                0.48441,                0.96178,                0.83571,                0.62583,                0.80326,                0.47944,                  1.308,                0.93199,                 1.2689,             0.00095736,             0.00095736,             0.00095736
                     45,                0.86777,                0.53027,                0.95954,                0.78804,                 0.6859,                0.80794,                0.47521,                 1.3746,                0.92441,                 1.3039,             0.00094085,             0.00094085,             0.00094085
                     46,                0.87778,                0.49706,                0.94916,                0.85941,                0.72256,                0.82658,                0.50486,                 1.3237,                0.82796,                 1.2605,             0.00092435,             0.00092435,             0.00092435
                     47,                0.83446,                0.47777,                0.96947,                0.92299,                0.72938,                0.84848,                0.52053,                 1.2895,                0.76568,                  1.225,             0.00090785,             0.00090785,             0.00090785
                     48,                0.83378,                0.48762,                0.93243,                0.86417,                0.77641,                0.86371,                0.53101,                 1.2772,                0.74136,                  1.222,             0.00089134,             0.00089134,             0.00089134
                     49,                0.79919,                0.47061,                0.94905,                0.87982,                0.75843,                0.86239,                0.53391,                 1.2519,                0.72575,                 1.1942,             0.00087484,             0.00087484,             0.00087484
                     50,                0.81934,                0.47118,                0.94504,                0.94788,                0.67917,                0.83712,                0.52567,                 1.2671,                0.71084,                 1.2165,             0.00085834,             0.00085834,             0.00085834
                     51,                 0.7709,                0.46437,                0.94769,                0.80729,                0.78345,                0.83231,                0.53158,                 1.2654,                0.70962,                 1.2258,             0.00084184,             0.00084184,             0.00084184
                     52,                 0.7329,                0.47082,                0.92274,                0.87671,                0.73873,                0.84624,                0.53811,                 1.2591,                0.71826,                 1.2294,             0.00082533,             0.00082533,             0.00082533
                     53,                0.76025,                0.45024,                0.92973,                0.90666,                0.71074,                0.84475,                0.54145,                 1.2493,                0.72256,                 1.2366,             0.00080883,             0.00080883,             0.00080883
                     54,                0.75447,                0.44385,                0.93209,                0.80314,                0.76216,                 0.8382,                0.54432,                 1.2196,                0.73073,                 1.2167,             0.00079233,             0.00079233,             0.00079233
                     55,                0.72938,                0.42752,                0.91286,                0.79528,                0.76197,                0.82356,                0.51849,                 1.2206,                0.73158,                 1.1989,             0.00077582,             0.00077582,             0.00077582
                     56,                0.75947,                0.43763,                0.91265,                0.90617,                0.68053,                  0.817,                0.48269,                 1.2354,                0.74984,                 1.2108,             0.00075932,             0.00075932,             0.00075932
                     57,                0.73458,                0.42612,                0.91218,                0.91129,                0.69339,                0.82292,                0.50947,                  1.206,                0.72895,                 1.1942,             0.00074282,             0.00074282,             0.00074282
                     58,                0.69876,                0.39746,                0.89803,                0.89429,                0.66972,                0.83038,                0.50688,                 1.1864,                0.74505,                 1.1868,             0.00072631,             0.00072631,             0.00072631
                     59,                  0.704,                0.42041,                0.90659,                0.73475,                0.82357,                0.83071,                 0.4951,                  1.252,                0.73009,                 1.2125,             0.00070981,             0.00070981,             0.00070981
                     60,                0.71817,                0.42798,                 0.9074,                0.72389,                0.80459,                0.81097,                0.50626,                 1.2026,                0.71069,                 1.1934,             0.00069331,             0.00069331,             0.00069331
                     61,                0.66128,                 0.3998,                0.90337,                0.72881,                0.80106,                 0.8225,                0.52276,                 1.2222,                0.70035,                 1.2012,              0.0006768,              0.0006768,              0.0006768
                     62,                0.66239,                0.39517,                0.89514,                0.79219,                0.80141,                0.83922,                0.55463,                 1.2537,                0.74761,                 1.2214,              0.0006603,              0.0006603,              0.0006603
                     63,                0.66205,                 0.3878,                0.90101,                 0.8444,                0.76274,                0.84361,                0.54535,                 1.2437,                0.75688,                 1.2092,              0.0006438,              0.0006438,              0.0006438
                     64,                0.62872,                0.37969,                0.90064,                0.85774,                0.73686,                0.84106,                0.55701,                 1.2422,                 0.7495,                 1.2083,             0.00062729,             0.00062729,             0.00062729
                     65,                0.62017,                0.38498,                0.88619,                0.84341,                0.74076,                0.83724,                0.54917,                 1.2331,                0.74042,                 1.2002,             0.00061079,             0.00061079,             0.00061079
                     66,                0.67196,                0.41369,                0.91647,                0.79753,                0.76035,                0.81112,                0.54428,                  1.217,                0.79912,                 1.1918,             0.00059429,             0.00059429,             0.00059429
                     67,                0.63928,                0.40956,                0.90109,                0.74248,                0.74086,                0.82616,                0.52834,                 1.2109,                0.75474,                 1.1904,             0.00057778,             0.00057778,             0.00057778
                     68,                 0.6373,                0.38346,                0.90407,                0.74663,                 0.8081,                0.85661,                0.56641,                 1.1731,                0.68003,                 1.1748,             0.00056128,             0.00056128,             0.00056128
                     69,                0.64906,                0.39177,                0.89461,                0.87229,                0.67568,                0.86923,                0.57684,                 1.1799,                0.67443,                 1.1843,             0.00054478,             0.00054478,             0.00054478
                     70,                0.68121,                0.40365,                0.89664,                0.74811,                0.77975,                0.86845,                0.56132,                   1.21,                0.66364,                 1.1999,             0.00052827,             0.00052827,             0.00052827
                     71,                 0.6601,                0.38708,                 0.8748,                0.92101,                0.64928,                0.85048,                0.56099,                 1.2018,                0.66834,                 1.1856,             0.00051177,             0.00051177,             0.00051177
                     72,                0.67157,                0.40255,                0.90116,                0.83972,                0.67922,                0.84996,                0.55872,                 1.2119,                0.65444,                 1.2007,             0.00049527,             0.00049527,             0.00049527
                     73,                0.61439,                0.36226,                0.88026,                0.84236,                0.71211,                0.85938,                 0.5617,                 1.2063,                0.63599,                 1.2017,             0.00047876,             0.00047876,             0.00047876
                     74,                0.55969,                 0.3504,                0.87248,                 0.9262,                0.70634,                 0.8681,                0.56945,                  1.207,                0.62923,                 1.1963,             0.00046226,             0.00046226,             0.00046226
                     75,                0.62684,                0.37838,                0.87395,                0.90385,                0.69083,                0.86401,                0.56978,                 1.1993,                0.64971,                 1.1916,             0.00044576,             0.00044576,             0.00044576
                     76,                0.55769,                0.35843,                0.87464,                0.86174,                0.71937,                 0.8464,                0.55582,                 1.1945,                0.65677,                 1.1936,             0.00042925,             0.00042925,             0.00042925
                     77,                0.60064,                0.35963,                0.86672,                0.79329,                0.77248,                0.83997,                0.54589,                 1.2019,                0.66524,                 1.2011,             0.00041275,             0.00041275,             0.00041275
                     78,                0.57584,                0.34345,                0.86998,                0.82429,                0.72641,                0.82201,                0.52841,                 1.2147,                0.67446,                  1.212,             0.00039625,             0.00039625,             0.00039625
                     79,                0.58595,                0.35714,                0.86916,                0.83873,                0.72289,                 0.8293,                 0.5314,                 1.2037,                0.67706,                 1.2052,             0.00037974,             0.00037974,             0.00037974
                     80,                0.55696,                0.35152,                0.87834,                0.85172,                0.72158,                0.84525,                0.54899,                 1.2057,                0.66868,                 1.2087,             0.00036324,             0.00036324,             0.00036324
                     81,                0.57077,                0.34901,                0.87465,                0.85765,                0.71937,                 0.8522,                 0.5469,                 1.2179,                0.67039,                 1.2137,             0.00034674,             0.00034674,             0.00034674
                     82,                0.54447,                0.33165,                 0.8567,                 0.7318,                0.85978,                0.86505,                0.54685,                 1.2467,                0.66025,                 1.2273,             0.00033023,             0.00033023,             0.00033023
                     83,                0.56615,                0.34208,                0.86069,                0.85445,                0.76573,                0.87246,                0.55222,                 1.2438,                0.64492,                 1.2292,             0.00031373,             0.00031373,             0.00031373
                     84,                0.54923,                 0.3408,                0.86436,                0.77452,                0.84805,                0.87156,                 0.5586,                 1.2234,                 0.6299,                 1.2149,             0.00029723,             0.00029723,             0.00029723
                     85,                0.52802,                0.32729,                0.86647,                  0.865,                0.74908,                0.86723,                0.55246,                 1.2284,                0.63401,                 1.2126,             0.00028072,             0.00028072,             0.00028072
                     86,                0.54779,                0.33533,                0.85721,                0.83536,                0.78234,                 0.8653,                 0.5531,                 1.2385,                0.63791,                 1.2184,             0.00026422,             0.00026422,             0.00026422
                     87,                0.50079,                  0.314,                0.86087,                0.91628,                0.73084,                0.87058,                0.55552,                 1.2331,                0.64513,                 1.2247,             0.00024772,             0.00024772,             0.00024772
                     88,                0.52274,                0.32234,                0.84448,                0.93703,                0.74072,                0.87382,                0.55588,                 1.2288,                0.64867,                 1.2268,             0.00023121,             0.00023121,             0.00023121
                     89,                0.53498,                0.33928,                0.85771,                0.92913,                0.74443,                0.87308,                0.55757,                 1.2266,                0.64437,                 1.2286,             0.00021471,             0.00021471,             0.00021471
                     90,                0.50694,                0.32084,                0.85418,                0.85077,                 0.7834,                0.87097,                0.55441,                 1.2218,                0.63641,                 1.2265,             0.00019821,             0.00019821,             0.00019821
                     91,                0.52743,                0.33134,                0.84161,                0.86673,                0.74728,                  0.866,                 0.5668,                 1.2046,                 0.6438,                 1.2157,              0.0001817,              0.0001817,              0.0001817
                     92,                0.53226,                0.31521,                0.83955,                0.87669,                0.73028,                0.86066,                0.56457,                 1.2015,                0.65691,                 1.2161,              0.0001652,              0.0001652,              0.0001652
                     93,                0.49495,                0.30609,                0.84514,                0.87682,                0.72324,                0.84961,                0.55548,                 1.2034,                0.66585,                 1.2194,              0.0001487,              0.0001487,              0.0001487
                     94,                0.48006,                0.28531,                0.83689,                0.86609,                0.73751,                0.84549,                0.55408,                  1.197,                0.68183,                 1.2136,             0.00013219,             0.00013219,             0.00013219
                     95,                0.47266,                0.28304,                0.82984,                0.88536,                0.72704,                0.83931,                0.55076,                 1.1948,                 0.6891,                 1.2141,             0.00011569,             0.00011569,             0.00011569
                     96,                0.49503,                0.30267,                0.84161,                0.89565,                 0.7143,                0.83948,                 0.5522,                 1.1948,                0.68986,                 1.2139,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.47192,                0.28219,                0.82918,                0.89623,                0.69987,                0.84221,                0.56008,                 1.1923,                0.67888,                 1.2085,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.46127,                0.28299,                0.81927,                0.90463,                0.69818,                0.83871,                 0.5635,                 1.1904,                0.66441,                  1.205,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.45412,                0.27835,                0.83729,                0.81661,                0.76455,                0.83839,                0.55119,                 1.1929,                0.65393,                 1.2065,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.47881,                0.28216,                0.83209,                0.82131,                0.76216,                0.83963,                0.55144,                 1.1949,                 0.6452,                 1.2079,             3.3173e-05,             3.3173e-05,             3.3173e-05
